epoch,train_acc1,train_acc5,val_acc1,val_acc5
1,5.889005661010742,15.580326080322266,14.619999885559082,34.15399932861328
2,23.121185302734375,45.98955535888672,17.855998992919922,37.88800048828125
3,31.84479331970215,56.952598571777344,26.727998733520508,50.461997985839844
4,36.0714111328125,61.57876205444336,38.891998291015625,65.8759994506836
5,38.76941680908203,64.39171600341797,40.00199890136719,66.5459976196289
6,40.54935836791992,66.1548843383789,42.11000061035156,69.20600128173828
7,41.723289489746094,67.3357925415039,39.68000030517578,66.15799713134766
8,42.68803405761719,68.19513702392578,46.051998138427734,72.93399810791016
9,43.30910873413086,68.81876373291016,45.082000732421875,72.18799591064453
10,43.83136749267578,69.21947479248047,44.60199737548828,71.302001953125
11,44.217262268066406,69.64347839355469,45.60799789428711,72.63999938964844
12,44.59270095825195,69.9757080078125,45.24599838256836,72.64599609375
13,44.831077575683594,70.18119812011719,46.875999450683594,74.11000061035156
14,45.077884674072266,70.36207580566406,45.16600036621094,71.88600158691406
15,45.30868911743164,70.55364990234375,46.689998626708984,73.60800170898438
16,59.37813949584961,81.20414733886719,66.20199584960938,87.34199523925781
17,62.1717529296875,83.22864532470703,66.63800048828125,87.85199737548828
18,63.09384536743164,83.91224670410156,67.63199615478516,88.21199798583984
19,63.42979431152344,84.16060638427734,67.0,88.05799865722656
20,63.59745407104492,84.30233001708984,66.98600006103516,88.25799560546875
21,63.60098648071289,84.3600845336914,67.26200103759766,88.36799621582031
22,63.615631103515625,84.4011001586914,66.2239990234375,87.75999450683594
23,63.6204833984375,84.39483642578125,66.49199676513672,87.8699951171875
24,63.73664474487305,84.49964141845703,67.5459976196289,88.48799896240234
25,63.73815155029297,84.5426254272461,67.33000183105469,88.38599395751953
26,63.911006927490234,84.63160705566406,67.00999450683594,88.20399475097656
27,63.98509979248047,84.76549530029297,67.1500015258789,88.29399871826172
28,64.17138671875,84.78424072265625,67.7239990234375,88.46599578857422
29,64.30572509765625,84.8774185180664,67.88999938964844,88.5739974975586
30,64.38861083984375,84.97417449951172,67.14399719238281,88.36199951171875
31,70.5099105834961,88.39141082763672,73.48799896240234,91.61799621582031
32,71.9734115600586,89.24589538574219,73.98799896240234,91.93199920654297
33,72.61954498291016,89.61527252197266,74.17399597167969,92.09600067138672
